"name","pval","adj_pval","diff","t_statistic","se","df","avg_abundance","n_approx","n_obs","Gene.names","n_obs_wt","n_obs_C182S"
"PAICS",0.345756814538257,0.642897780273985,0.108713397618715,0.981424575062514,0.110771016317571,12,26.8462144004662,16.0000000000008,16,"PAICS",0,0
"EEF1B2",0.418524911024508,0.716117352287406,-0.0864393247771389,-0.837786353420975,0.103175856737433,12,27.3323160041661,16.0000000000292,16,"EEF1B2",0,0
"LAP3",0.0248975100160739,0.173547588267025,-0.285345578639241,-2.56226539480982,0.111364567939466,12,24.6009420135327,16.0000000000007,16,"LAP3",0,0
"ALDH1B1",0.403832287786329,0.70249483959217,-0.082567469130435,-0.865317704279859,0.0954186753859959,12,25.9277533643095,16.0000000190867,16,"ALDH1B1",0,0
"EIF4A3",0.00292984865681353,0.0728221593779047,-0.318190211646851,-3.71944254999536,0.0855478226561794,12,29.1349902583352,16.0000000001865,16,"EIF4A3",0,0
"TMPO",0.0818711689011584,0.296841915651225,0.207044839175587,1.89896208093271,0.109030528442092,12,24.364724046841,16.0000000000077,16,"TMPO",0,0
"IDH2",0.948273540570824,0.978311697508621,0.00793133655145439,0.0662451479831974,0.119727056138,12,25.7490361357235,16.0000000000001,16,"IDH2",0,0
"ALDH9A1",0.255135321721282,0.5427371877607,-0.156235793893664,-1.19509390352421,0.130730977233622,12,25.4434671370074,16.000000000037,16,"ALDH9A1",0,0
"NUP153",0.106306358181668,0.34444718800201,-0.518271987710637,-1.74615998354948,0.296806703047408,12,22.8884077293722,16.0000000294142,16,"NUP153",0,0
"DSTN",0.0501644503012057,0.239294562169135,-0.177466556870105,-2.17697878933921,0.0815196536315228,12,27.1274094367845,16.0000000000595,16,"DSTN",0,0
"PFKP",0.326497780977626,0.627208781099913,-0.13230345255921,-1.02298099561509,0.129331290733959,12,25.0263531725495,16.0000000115384,16,"PFKP",0,0
"RPL6",0.0031773773862082,0.0749603932428381,-1.47469780869115,-3.67506607890749,0.401271100172855,12,26.0492645502831,16.0000000293805,16,"RPL6",0,0
"AIMP1",0.683098472555762,0.90935378059044,-0.053939781858837,-0.418325161913234,0.128942236255023,12,26.0259337600319,16.0000000000028,16,"AIMP1",0,0
"TTLL12",0.0109576252584166,0.122479018421,-0.362297465203316,-3.00532965876367,0.120551655338988,12,25.7673766073587,16.0000000002019,16,"TTLL12",0,0
"PMVK",0.832295485238063,0.941563541109262,0.0228972144894115,0.216420404634238,0.10579970279655,12,24.7727756147228,16.0000000007384,16,"PMVK",0,0
"YOD1",0.0165300180606516,0.14236367911818,0.397858752445277,2.78391396969548,0.142913450909835,12,25.5531235681544,16.000000000272,16,"YOD1",0,0
"LARP4",0.206278062380152,0.484035230391387,-0.162395900988482,-1.336174655565,0.121537929425711,12,25.0937187709401,16.0000000042898,16,"LARP4",0,0
"ZNF598",0.134628423515808,0.388999347267485,0.214230927257024,1.6042951278109,0.133535858548263,12,24.9417020892193,16,16,"ZNF598",0,0
"FAM76A",0.190903738700725,0.46651638086115,0.310256344604365,1.38619796633489,0.223818207888938,12,24.1624400388473,16,16,"FAM76A",0,0
"SMG7",0.0772838204443962,0.293149050530016,0.153385656375495,1.93221218524138,0.0793834432610892,12,25.04996337399,16.0000000000122,16,"SMG7",0,0
"CHAMP1",0.236868196026653,0.52787567799564,0.179518838343572,1.24507987393293,0.144182587882103,12,23.9304069044222,16.0000001513976,16,"CHAMP1",0,0
"GFM1",0.719646977511053,0.929831149465376,0.0351762894967464,0.36749838961289,0.0957182139867331,12,25.653135588088,16.000000000005,16,"GFM1",0,0
"NTPCR",0.0112131960016545,0.123989115429747,-0.526179034461492,-2.99292336802602,0.175807720332156,12,24.918609182407,16.0000000000021,16,"NTPCR",0,0
"GNL3",0.775587742362609,0.941563541109262,0.0336260824725976,0.291578754627313,0.115324185795283,12,25.0603510457149,16.0000000000019,16,"GNL3",0,0
"FARSB",0.461693835741759,0.760320430328193,-0.0901943169184811,-0.760402553189362,0.118613905937294,12,26.4414509931976,16.0000000000186,16,"FARSB",0,0
"ARGLU1",0.704782827960919,0.92688789085725,-0.0506956981970461,-0.388039193265738,0.130645818970994,12,24.6420508580406,16.0000000128948,16,"ARGLU1",0,0
"LIMD1",0.404228099859033,0.70249483959217,-0.124455383424387,-0.864567275569202,0.143951068865577,12,24.588646445375,16,16,"LIMD1",0,0
"MAD1L1",0.205165987772571,0.483240088406966,0.144335636972386,1.33968809982555,0.10773823921492,12,24.0638139157788,16.00000000017,16,"MAD1L1",0,0
"XRCC1",0.0253683318195412,0.176179333849682,0.253224424738878,2.55208294142266,0.0992226469715431,12,24.3784184354468,16.0000000090862,16,"XRCC1",0,0
"PRPF4",0.0128200570349455,0.130903176967633,0.178320541863034,2.92085018587049,0.061050903167048,12,25.2458816017003,16.000000000273,16,"PRPF4",0,0
"RPN1",0.661578571180661,0.893935565779878,-0.0644564355421196,-0.448792040275752,0.143622056002855,12,24.9451994860504,16.0000000000002,16,"RPN1",0,0
"ATP5B",0.628620650238881,0.871855377396592,0.092512063211462,0.496340900775431,0.186388151907149,12,25.7092537356375,16,16,"ATP5B",0,0
"ESD",0.864944315683274,0.941563541109262,0.0244158260757281,0.17376849785796,0.140507781195679,12,27.1204513653026,16.0000000000001,16,"ESD",0,0
"ACAT1",0.00414698164025899,0.0851483512874916,-0.418334945857655,-3.52992547963246,0.118510985082102,12,27.388704274618,16.0000007076582,16,"ACAT1",0,0
"VARS",0.155803460797556,0.416742636288596,0.104786269064292,1.51443044634028,0.0691918663663391,12,26.1413017938037,16.0000000000075,16,"VARS",0,0
"STIP1",0.330672290608155,0.630312771905958,0.191926502938898,1.01382489499704,0.189309321447921,12,24.8948250415271,16.0000000000054,16,"STIP1",0,0
"VCP",0.179988895979581,0.450927088203485,-0.142345893755564,-1.42378119370841,0.0999773661743682,12,25.0150797632317,16.0000000000011,16,"VCP",0,0
"EIF3B",0.188227101073055,0.462368002505852,0.179574850166478,1.39524532262107,0.128704857314364,12,25.1381350426478,16.0000000017123,16,"EIF3B",0,0
"RPS23",0.00832115835112614,0.106272306731255,-0.285800388246887,-3.15346866197338,0.0906304830909716,12,28.0692482263008,16.0000000000003,16,"RPS23",0,0
"RPL18",0.028720119263761,0.182420973717368,-0.22822380340024,-2.48450221274985,0.091858965642716,12,25.2467061706567,16.0000000005637,16,"RPL18",0,0
"POLE",0.00805446093915618,0.106202583666829,0.398376645610373,3.17101297772912,0.125630720658755,12,23.7433041290343,16.0000000008951,16,"POLE",0,0
"PRPF4B",0.739502822913353,0.939101474681937,0.0333418324308496,0.340314645582617,0.0979735455515544,12,25.444205328686,16.0000000000004,16,"PRPF4B",0,0
"KPNB1",0.559408364650112,0.818669486407085,-0.0400446139069217,-0.600399932957805,0.0666965662531744,12,26.4331753608803,16.0000008264228,16,"KPNB1",0,0
